Voltage TopGap BottomGap
1389.8 0.01224 0.00449
2347.7 0.01683 0.00366
3302.4 0.02447 0.012
4272.8 0.03136 0.01575
5221.2 0.06195 0.01492
6188.5 0.05277 0.01409
7136.9 0.07418 0.03313
8107 0.16213 0.03382
8438.6 0.2302 0.06482
8679.4 0.30285 0.06867
8779.5 0.31126 0.07637
8857.8 0.29673 0.09369
8967.3 0.33115 0.09705
9058 0.3648 0.10764
9161.3 0.35639 0.12351
9261.4 0.38392 0.13554
9336.4 0.4038 0.16298
9436.5 0.44204 0.18078
9533.3 0.49787 0.19233
9636.5 0.54376 0.20821
9746 0.54605 0.23804
9836.6 0.60418 0.26548
9914.7 0.63783 0.29339
10008.3 0.74489 0.33286
10214.8 0.75943 0.51914
10302.5 0.77013 0.63659
10414.8 0.88255 0.88497
10492.4 1.0814 1.2797
10582.2 1.35901 1.76541
